ASBASD,MolLogP,MolWt,NumRotableBonds,TPSA,AromaticProportion
58,2.0373,137.02,1,0,0
59,2.1814,137.02,2,0,0
60,3.3517,179.101,5,0,0
61,2.9616,165.074,4,0,0
62,3.6023,207.07,0,0,0.909090909
63,3.7418,193.128,6,0,0
64,2.5715,151.047,3,0,0
65,1.7913,122.993,1,0,0
66,0.7788,74.123,2,20.23,0
67,1.5824,56.108,1,0,0
68,1.0296,54.092,0,0,0
69,1.6201,143.411,1,0,0
70,1.8812,92.569,1,0,0
71,2.0253,92.569,2,0,0
72,3.1956,134.65,5,0,0
73,2.8055,120.623,4,0,0
74,3.4932,162.619,0,0,0.909090909
75,2.4154,106.596,3,0,0
76,1.6352,78.542,1,0,0
77,3.1194,158.285,8,20.23,0
78,3.923,140.27,7,0,0
79,3.8996,186.339,10,20.23,0
80,3.4022,156.228,1,0,0.833333333
81,1.9491,116.204,5,20.23,0
82,2.7527,98.189,4,0,0
83,2.1999,96.173,3,0,0
84,5.46,242.447,14,20.23,0
85,1.559,102.177,4,20.23,0
86,2.3626,84.162,3,0,0
87,1.3334,100.161,3,20.23,0
88,1.8098,82.146,2,0,0
89,2.2215,184.02,2,0,0
90,3.3918,226.101,5,0,0
91,3.4444,254.07,0,0,0.909090909
92,1.8314,169.993,1,0,0
93,2.5067,96.173,0,0,0
94,3.56622,180.25,0,0,0.857142857
95,3.14822,142.201,0,0,0.909090909
96,4.30142,192.261,0,0,0.933333333
97,-0.9264,126.115,0,54.86,0.666666667
98,2.5454,144.173,0,20.23,0.909090909
99,2.422,143.189,0,26.02,0.909090909
100,2.748,173.171,1,43.14,0.769230769
101,0.6731,89.094,2,43.14,0
102,2.7293,144.258,7,20.23,0
103,3.5329,126.243,6,0,0
104,2.9801,124.227,5,0,0
105,6.2402,270.501,16,20.23,0
106,2.3392,130.231,6,20.23,0
107,3.1428,112.216,5,0,0
108,2.59,110.2,4,0,0
109,5.0699,228.42,13,20.23,0
110,1.1689,88.15,3,20.23,0
111,1.9725,70.135,2,0,0
112,1.4197,68.119,1,0,0
113,1.7399,122.167,1,20.23,0.666666667
114,0.3887,60.096,1,20.23,0
115,4.6798,214.393,12,20.23,0
116,9.8876,498.662,1,0,0.545454545
117,8.5808,429.772,1,0,0.6
118,7.274,360.882,1,0,0.666666667
119,8.5808,429.772,1,0,0.6
120,7.274,360.882,1,0,0.666666667
121,5.9672,291.992,1,0,0.75
122,7.9274,395.327,1,0,0.631578947
123,7.9274,395.327,1,0,0.631578947
124,7.274,360.882,1,0,0.666666667
125,6.6206,326.437,1,0,0.705882353
126,6.6206,326.437,1,0,0.705882353
127,7.274,360.882,1,0,0.666666667
128,5.9672,291.992,1,0,0.75
129,2.6885,100.205,0,0,0
130,7.274,360.882,1,0,0.666666667
131,7.274,360.882,1,0,0.666666667
132,5.9672,291.992,1,0,0.75
133,6.6206,326.437,1,0,0.705882353
134,3.0786,114.232,1,0,0
135,3.4687,128.259,2,0,0
136,5.9672,291.992,1,0,0.75
137,1.4149,102.177,2,20.23,0
138,2.4425,86.178,0,0,0
139,2.8326,100.205,1,0,0
140,1.805,116.204,3,20.23,0
141,1.0248,88.15,0,20.23,0
142,4.6604,223.102,1,0,0.857142857
143,7.274,360.882,1,0,0.666666667
144,7.9274,395.327,1,0,0.631578947
145,7.274,360.882,1,0,0.666666667
146,6.6206,326.437,1,0,0.705882353
147,6.6206,326.437,1,0,0.705882353
148,5.9672,291.992,1,0,0.75
149,4.0058,231.893,0,20.23,0.545454545
150,4.0058,231.893,0,20.23,0.545454545
151,5.3138,257.547,1,0,0.8
152,5.3138,257.547,1,0,0.8
153,3.3524,197.448,0,20.23,0.6
154,2.9345,114.232,2,0,0
155,4.0058,231.893,0,20.23,0.545454545
156,5.3138,257.547,1,0,0.8
157,3.3524,197.448,0,20.23,0.6
158,3.3524,197.448,0,20.23,0.6
159,2.9016,192.001,1,43.14,0.545454545
160,2.699,163.003,0,20.23,0.666666667
161,2.1386,82.146,1,0,0
162,2.2984,86.178,1,0,0
163,3.45664,156.228,0,0,0.833333333
164,2.6885,100.205,2,0,0
165,1.69844,107.156,0,12.89,0.75
166,5.3138,257.547,1,0,0.8
167,5.3138,257.547,1,0,0.8
168,3.3524,197.448,0,20.23,0.6
169,5.3138,257.547,1,0,0.8
170,3.3524,197.448,0,20.23,0.6
171,2.31746,136.194,0,20.23,0.6
172,1.71962,227.132,3,129.42,0.375
173,2.699,163.003,0,20.23,0.666666667
174,1.8034,116.204,2,20.23,0
175,1.6593,116.204,2,20.23,0
176,1.8675,114.188,2,17.07,0
177,2.6885,100.205,2,0,0
178,2.00904,122.167,0,20.23,0.666666667
179,1.69844,107.156,0,12.89,0.75
180,1.81142,182.135,2,86.28,0.461538462
181,4.6604,223.102,1,0,0.857142857
182,4.6604,223.102,1,0,0.857142857
183,2.699,163.003,0,20.23,0.666666667
184,3.45664,156.228,0,0,0.833333333
185,2.00904,122.167,0,20.23,0.666666667
186,1.69844,107.156,0,12.89,0.75
187,1.81142,182.135,2,86.28,0.461538462
188,4.6604,223.102,1,0,0.857142857
189,2.85164,157.216,0,12.89,0.833333333
190,3.5752,193.249,0,26.02,0.933333333
191,3.6023,207.07,0,0,0.909090909
192,3.6023,207.07,0,0,0.909090909
193,1.7897,122.993,0,0,0
194,2.75752,171.037,0,0,0.75
195,0.9854,72.107,1,17.07,0
196,0.7614,70.091,1,17.07,0
197,0.7954,118.176,5,29.46,0
198,2.4138,106.596,1,0,0
199,2.3486,142.585,1,9.23,0.666666667
200,4.007,188.657,1,0,0.923076923
201,2.0237,92.569,1,0,0
202,3.4932,162.619,0,0,0.909090909
203,2.0456,128.558,0,20.23,0.75
204,1.6336,78.542,0,0,0
205,2.64842,126.586,0,0,0.75
206,-1.25912,84.082,0,88.19,0
207,3.326,156.269,7,17.07,0
208,1.644,107.156,1,12.89,0.75
209,1.4149,102.177,3,20.23,0
210,2.1951,130.231,5,20.23,0
211,2.3218,126.199,4,17.07,0
212,1.6215,100.161,3,17.07,0
213,2.4017,128.215,5,17.07,0
214,3.4022,156.228,1,0,0.833333333
215,2.55742,120.195,1,0,0.666666667
216,1.9475,116.204,4,20.23,0
217,2.1557,114.188,4,17.07,0
218,1.5574,102.177,3,20.23,0
219,1.7656,100.161,3,17.07,0
220,0.1254,148.125,0,71.79,0.909090909
221,0.7872,95.101,0,33.12,0.857142857
222,1.8298,169.993,0,0,0
223,3.11842,134.222,1,0,0.6
224,0.4284,162.152,1,60.79,0.833333333
225,1.9725,70.135,0,0,0
226,1.7485,68.119,1,0,0
227,1.9725,70.135,1,0,0
228,2.3626,84.162,2,0,0
229,2.3376,130.231,4,20.23,0
230,1.9475,116.204,3,20.23,0
231,1.5574,102.177,2,20.23,0
232,1.4133,102.177,2,20.23,0
233,4.30142,192.261,0,0,0.933333333
234,1.1673,88.15,1,20.23,0
235,2.0524,72.151,1,0,0
236,1.0248,88.15,2,20.23,0
237,3.2227,114.232,4,0,0
238,3.14822,142.201,0,0,0.909090909
239,2.4425,86.178,2,0,0
240,1.4149,102.177,3,20.23,0
241,4.30142,192.261,0,0,0.933333333
242,1.70062,108.14,0,20.23,0.75
243,0.6347,74.123,1,20.23,0
244,1.6623,58.124,0,0,0
245,1.5824,56.108,0,0,0
246,0.72822,146.153,0,51.56,0.909090909
247,1.1853,86.134,0,9.23,0
248,2.5454,144.173,0,20.23,0.909090909
249,0.6715,89.094,1,43.14,0
250,2.7277,144.258,6,20.23,0
251,2.9359,142.242,6,17.07,0
252,2.3376,130.231,5,20.23,0
253,2.5458,128.215,5,17.07,0
254,1.1673,88.15,2,20.23,0
255,1.3755,86.134,2,17.07,0
256,1.0577,138.166,3,29.46,0.6
257,0.3871,60.096,0,20.23,0
258,-0.1036,85.106,0,29.1,0
259,3.5079,172.312,8,20.23,0
260,1.4149,102.177,1,20.23,0
261,1.4133,102.177,0,20.23,0
262,1.6215,100.161,0,17.07,0
263,2.8326,100.205,2,0,0
264,2.9016,192.001,1,43.14,0.545454545
265,2.699,163.003,0,20.23,0.666666667
266,2.00904,122.167,0,20.23,0.666666667
267,1.69844,107.156,0,12.89,0.75
268,4.6604,223.102,1,0,0.857142857
269,2.699,163.003,0,20.23,0.666666667
270,2.00904,122.167,0,20.23,0.666666667
271,1.69844,107.156,0,12.89,0.75
272,2.7828,352.39,6,75.71,0.461538462
273,2.3486,142.585,1,9.23,0.666666667
274,4.007,188.657,1,0,0.923076923
275,2.0456,128.558,0,20.23,0.75
276,1.13888,89.525,1,23.79,0
277,2.0026,324.336,4,75.71,0.5
278,1.9475,116.204,3,20.23,0
279,1.9475,116.204,4,20.23,0
280,3.9531,394.471,9,75.71,0.413793103
281,1.5574,102.177,3,20.23,0
282,1.7656,100.161,3,17.07,0
283,3.563,380.444,8,75.71,0.428571429
284,1.8098,82.146,0,0,0
285,1.8284,70.135,1,0,0
286,1.0232,88.15,1,20.23,0
287,1.2314,86.134,1,17.07,0
288,1.4149,102.177,3,20.23,0
289,1.4149,102.177,3,20.23,0
290,1.6215,100.161,2,17.07,0
291,2.3376,130.231,4,20.23,0
292,1.9475,116.204,3,20.23,0
293,1.5574,102.177,2,20.23,0
294,1.0248,88.15,2,20.23,0
295,5.55322,268.359,0,0,0.857142857
296,3.2227,114.232,4,0,0
297,2.47632,131.178,0,15.79,0.9
298,2.4425,86.178,2,0,0
299,1.70062,108.14,0,20.23,0.75
300,2.3376,130.231,5,20.23,0
301,4.3432,408.498,10,75.71,0.4
302,1.1673,88.15,2,20.23,0
303,1.3755,86.134,2,17.07,0
304,3.1729,366.417,7,75.71,0.444444444
305,2.3927,338.363,5,75.71,0.48
306,4.6604,223.102,1,0,0.857142857
307,2.1547,173.009,0,20.23,0.75
308,2.75752,171.037,0,0,0.75
309,2.3486,142.585,1,9.23,0.666666667
310,2.0456,128.558,0,20.23,0.75
311,2.64842,126.586,0,0,0.75
312,2.55742,120.195,1,0,0.666666667
313,1.9475,116.204,4,20.23,0
314,2.1557,114.188,4,17.07,0
315,3.2206,194.274,5,40.46,0.428571429
316,0.7872,95.101,0,33.12,0.857142857
317,3.11842,134.222,1,0,0.6
318,0.4284,162.152,1,60.79,0.833333333
319,1.4133,102.177,2,20.23,0
320,1.6215,100.161,2,17.07,0
321,3.66202,168.239,1,0,0.923076923
322,1.4149,102.177,3,20.23,0
323,0.72822,146.153,0,51.56,0.909090909
324,1.5532,180.163,2,72.24,0.461538462
325,0.9449,86.134,3,20.23,0
326,1.1051,224.26,3,75.27,0
327,1.3511,238.287,3,75.27,0
328,0.491,208.217,4,75.27,0
329,0.6508,212.249,2,75.27,0
330,-0.6214,156.141,0,75.27,0
331,2.271,148.205,0,20.23,0.545454545
332,5.76304,256.348,0,0,0.9
333,0.3249,196.206,3,75.27,0
334,0.5709,210.233,3,75.27,0
335,-0.0652,182.179,2,75.27,0
336,0.8665,244.25,3,75.27,0.333333333
337,1.185,226.276,4,75.27,0
338,0.4048,198.222,2,75.27,0
339,0.7004,232.239,2,75.27,0.352941176
340,-0.7977,130.078,0,65.72,0.666666667
341,1.9404,145.161,0,33.12,0.909090909
342,-0.2313,170.168,1,75.27,0
343,5.45462,242.321,0,0,0.947368421
344,-0.33948,125.131,0,71.77,0.666666667
345,2.9359,142.242,6,17.07,0
346,4.7284,243.309,0,26.02,0.947368421
347,1.9404,145.161,0,33.12,0.909090909
348,0.4284,162.152,1,60.79,0.833333333
349,5.45462,242.321,0,0,0.947368421
350,5.76304,256.348,0,0,0.9
351,0.4284,162.152,1,60.79,0.833333333
352,0.72822,146.153,0,51.56,0.909090909
353,1.9404,145.161,0,33.12,0.909090909
354,4.60984,206.288,0,0,0.875
355,3.6986,194.233,0,20.23,0.933333333
356,4.30142,192.261,0,0,0.933333333
357,5.63,466.479,10,55.38,0.444444444
358,2.9384,154.212,0,0,0.833333333
359,3.3236,152.196,0,0,0.833333333
360,1.24,183.169,3,55.4,0
361,-0.5084,59.068,0,43.09,0
362,1.645,135.166,1,29.1,0.6
363,-0.8561,222.251,2,115.04,0.384615385
364,0.52988,41.053,0,23.79,0
365,1.8892,120.151,1,17.07,0.666666667
366,1.94934,293.348,3,89.43,0.55
367,3.388,179.222,0,12.89,1
368,0.3713,56.064,1,17.07,0
369,0.69598,53.064,0,23.79,0
370,-0.0649,135.13,0,80.48,0.9
371,3.2664,300.398,0,51.21,0
372,2.9871,269.772,6,29.54,0.333333333
373,1.8457,360.45,3,91.67,0
374,5.2702,364.914,0,0,0
375,-2.1798,158.117,1,113.32,0
376,1.7553,162.279,5,17.07,0
377,-0.3538,136.114,0,74.43,0.9
378,-2.0785,142.07,0,92.34,0
379,-4.8194,286.156,1,191,0
380,0.0696,210.285,3,48.39,0.4
381,1.8456,227.337,5,62.73,0.4
382,-3.10802,457.432,7,202.32,0.1875
383,1.77922,208.261,2,41.57,0.4
384,1.55042,231.299,2,30.17,0.647058824
385,0.7253,100.146,0,38.91,0.833333333
386,4.87188,293.414,4,27.96,0.545454545
387,-0.6131,84.082,0,67.59,0.833333333
388,1.185,226.276,4,75.27,0
389,1.06662,203.245,1,52.95,0.733333333
390,2.1311,256.305,4,55.24,0.631578947
391,4.0874,286.415,0,34.14,0
392,3.9591,290.447,0,37.3,0
393,2.7283,148.205,2,9.23,0.545454545
394,1.2688,93.129,0,26.02,0.857142857
395,4.3319,367.86,7,38.77,0.285714286
396,1.6952,108.14,1,9.23,0.75
397,3.993,178.234,0,0,1
398,2.462,208.216,0,34.14,0.75
399,1.48442,188.23,1,26.93,0.785714286
400,2.06422,300.362,2,56.22,0.272727273
401,5.5051,366.844,2,54.37,0.461538462
402,1.1323,211.269,5,71.96,0.4
403,1.7771,215.688,4,62.73,0.428571429
404,2.0905,259.762,5,46.09,0.375
405,4.102,182.226,2,24.72,0.857142857
406,1.0537,223.165,5,73.86,0
407,3.1307,258.104,2,38.33,0.375
408,0.1588,184.195,2,75.27,0
409,1.6254,421.422,3,118.36,0.444444444
410,4.1482,335.282,7,89.52,0.260869565
411,4.0575,410.536,8,68.31,0.214285714
412,3.5435,323.133,2,29.1,0.75
413,2.5724,290.323,4,85.25,0.428571429
414,3.7726,397.524,10,64.63,0.260869565
415,1.4991,106.124,1,17.07,0.75
416,0.7855,121.139,1,43.09,0.666666667
417,1.6866,78.114,0,0,1
418,2.7683,184.238,2,20.23,0.857142857
419,1.1077,260.253,5,90.06,0.578947368
420,4.411,216.283,0,0,0.941176471
421,5.7372,252.316,0,0,1
422,5.6404,252.316,0,0,1
423,4.411,216.283,0,0,0.941176471
424,5.7372,252.316,0,0,1
425,5.6404,252.316,0,0,1
426,5.6404,252.316,0,0,1
427,6.3282,276.338,0,0,1
428,1.4455,165.192,2,52.32,0.5
429,2.6029,212.248,3,37.3,0.75
430,1.55828,103.124,0,23.79,0.75
431,2.9176,182.222,2,17.07,0.857142857
432,2.2963,135.191,0,12.89,1
433,0.9579,119.127,0,41.57,1
434,1.8278,119.123,0,26.03,1
435,2.4254,126.586,1,0,0.75
436,2.7054,146.111,0,0,0.6
437,0.8549,150.181,2,55.12,0.545454545
438,3.6368,476.585,6,100.9,0
439,3.4718,182.266,3,0,0.857142857
440,3.3536,154.212,1,0,1
441,4.45,256.308,1,25.78,1
442,2.1935,154.253,0,20.23,0
443,1.57852,261.119,2,54.86,0.428571429
444,7.1837,527.414,6,70.67,0.8
445,2.4491,157.01,0,0,0.857142857
446,1.5776,129.384,0,0,0
447,2.1425,163.829,0,0,0
448,1.4012,108.966,0,0,0
449,1.0111,94.939,0,0,0
450,4.652,366,4,27.69,0.375
451,4.3991,428.12,4,46.53,0.545454545
452,2.78888,276.915,0,44.02,0.545454545
453,1.5772,266.098,1,60.91,0.8
454,1.74462,316.427,8,84.42,0.285714286
455,0.7949,212.249,3,75.27,0
456,3.9998,263.381,1,38.33,0.315789474
457,4.1574,311.853,9,29.54,0.285714286
458,1.6836,303.156,4,75.27,0
459,2.2257,193.246,4,52.32,0.428571429
460,0.7772,74.123,1,20.23,0
461,1.8064,58.124,1,0,0
462,1.7163,90.191,2,0,0
463,0.939,212.249,4,75.27,0
464,1.0258,256.331,1,69.56,0.294117647
465,2.8254,236.702,2,32.34,0.375
466,0.9595,102.133,4,26.3,0
467,3.4735,217.378,5,20.31,0
468,3.0292,134.222,3,0,0.6
469,0.9854,72.107,2,17.07,0
470,-1.0293,194.194,0,61.82,0.642857143
471,2.4017,152.237,0,17.07,0
472,1.7656,100.161,4,17.07,0
473,3.5209,349.066,3,37.38,0
474,3.3306,212.252,2,41.13,0.75
475,2.558,201.225,1,38.33,0.666666667
476,3.3211,167.211,0,15.79,1
477,1.7597,236.271,4,67.43,0.352941176
478,2.1183,221.256,1,47.56,0.375
479,5.4203,342.875,8,18.46,0.333333333
480,2.62,235.308,2,38.33,0.375
481,1.135,237.097,3,72.19,0
482,2.82402,150.221,1,20.23,0.545454545
483,2.4879,150.221,1,17.07,0
484,-0.4629,309.529,2,88.38,0
485,0.909,323.132,6,112.7,0.3
486,2.2174,257.769,6,45.15,0.352941176
487,3.1276,293.548,2,41.57,0.4
488,2.9102,223.659,2,38.33,0.4
489,5.6828,409.782,0,0,0
490,5.0242,338.876,0,0,0
491,2.86982,196.681,2,15.6,0.461538462
492,1.1716,414.827,8,127.79,0.444444444
493,-0.2895,93.513,1,43.09,0
494,0.74878,75.498,0,23.79,0
495,2.34,112.559,0,0,0.857142857
496,2.2986,208.28,0,0,0
497,1.2451,64.515,0,0,0
498,1.3687,62.499,0,0,0
499,3.2969,213.664,2,38.33,0.428571429
500,1.5908,164.375,0,43.14,0
501,4.1809,339.218,4,46.53,0.545454545
502,4.04356,265.914,0,47.58,0.428571429
503,-0.0609,295.729,1,118.69,0.352941176
504,2.74192,212.68,1,32.34,0.428571429
505,4.2258,290.75,3,41.57,0.6
506,4.7181,350.591,6,40.58,0.333333333
507,4.2434,267.93,0,25.78,0.714285714
508,0.9242,338.772,2,109.49,0.545454545
509,2.74192,212.68,1,32.34,0.428571429
510,1.7745,169.567,0,46,0.818181818
511,5.2448,254.332,0,0,0.9
512,5.1462,228.294,0,0,1
513,1.9352,96.944,0,0,0
514,2.8326,112.216,0,0,0
515,1.9725,70.135,1,0,0
516,2.878,152.237,4,17.07,0
517,2.64,239.702,2,29.54,0.375
518,3.0377,315.716,2,84.6,0.545454545
519,6.9192,300.36,0,0,1
520,2.6667,346.467,2,74.6,0
521,1.9898,360.45,2,91.67,0
522,2.5606,402.487,3,97.74,0
523,4.263,342.778,4,67.51,0.666666667
524,4.43112,362.771,6,57.9,0.454545455
525,3.9668,292.334,1,50.44,0.727272727
526,1.67088,240.698,4,86.52,0.375
527,3.5141,215.362,3,20.31,0
528,1.2492,236.271,2,75.27,0
529,-0.4773,168.152,0,75.27,0
530,2.7307,98.189,0,0,0
531,1.7015,114.188,0,20.23,0
532,2.5067,96.173,0,0,0
533,0.693,210.233,0,75.27,0
534,2.3406,84.162,0,0,0
535,1.3114,100.161,0,20.23,0
536,1.5196,98.145,0,17.07,0
537,2.1166,82.146,0,0,0
538,1.0415,281.352,3,83.47,0
539,0.3029,196.206,0,75.27,0
540,3.1208,112.216,0,0,0
541,2.0916,128.215,0,20.23,0
542,1.0831,224.26,0,75.27,0
543,1.9505,70.135,0,0,0
544,1.7265,68.119,0,0,0
545,-0.0872,182.179,0,75.27,0
546,-0.8674,154.125,0,75.27,0
547,2.3705,198.31,1,32.34,0
548,6.31708,434.294,6,59.32,0.413793103
549,6.54398,449.856,6,59.32,0.387096774
550,6.17798,416.304,6,59.32,0.428571429
551,-0.6479,111.104,0,71.77,0.75
552,4.221,337.463,0,46.26,0.2
553,1.6838,248.307,2,86.18,0.705882353
554,5.929,320.046,3,0,0.666666667
555,6.1879,318.03,2,0,0.666666667
556,6.4955,354.491,2,0,0.631578947
557,3.3668,138.254,0,0,0
558,6.6944,314.522,12,17.07,0
559,6.49018,505.206,6,59.32,0.428571429
560,3.6959,330.468,2,54.37,0
561,4.2667,372.505,3,60.44,0
562,3.8659,300.314,4,76.66,0.545454545
563,1.8957,392.467,2,94.83,0
564,2.4665,434.504,3,100.9,0
565,2.4017,152.237,0,17.07,0
566,6.433,390.564,14,52.6,0.214285714
567,3.8782,393.854,8,55.84,0.260869565
568,3.8782,393.854,8,55.84,0.260869565
569,4.2774,270.225,4,20.31,0
570,3.1538,284.746,1,32.67,0.6
571,3.58472,304.352,7,53.47,0.315789474
572,3.586,168.195,0,13.14,1
573,4.0545,184.263,0,0,1
574,1.7337,173.835,0,0,0
575,2.6032,130.231,6,9.23,0
576,4.7938,314.466,15,52.6,0
577,3.6004,278.348,8,52.6,0.3
578,3.1443,297.656,5,70.83,0.352941176
579,1.4215,84.933,0,0,0
580,3.9954,269.127,2,40.46,0.705882353
581,5.5995,370.49,2,20.23,0.6
582,4.4814,380.913,0,12.53,0
583,4.6046,266.34,3,40.46,0.6
584,7.7256,474.64,1,0,0
585,1.0428,74.123,2,9.23,0
586,2.04,222.24,4,52.6,0.375
587,1.7594,90.191,2,0,0
588,2.4076,122.258,3,0,0
589,4.8286,268.356,4,40.46,0.6
590,3.581,286.331,4,50.8,0.571428571
591,3.5801,310.687,2,58.2,0.571428571
592,3.2473,764.95,7,182.83,0
593,2.2181,780.949,7,203.06,0
594,5.1608,334.456,12,52.6,0.25
595,1.8139,267.835,0,0,0
596,6.433,390.564,14,52.6,0.214285714
597,1.8198,102.177,2,9.23,0
598,2.5364,118.245,2,0,0
599,2.395,299.691,8,65.07,0
600,2.8699,338.795,2,80.37,0.47826087
601,1.9576,211.261,1,46.61,0
602,1.89922,209.293,4,49.25,0.4
603,0.2367,76.095,2,18.46,0
604,1.2598,194.186,2,52.6,0.428571429
605,0.9792,62.137,0,0,0
606,1.6274,94.204,1,0,0
607,2.9502,322.243,5,115.54,0.272727273
608,2.7221,240.215,4,106.51,0.352941176
609,-3.8346,180.156,0,121.38,0
610,2.5396,118.245,4,0,0
611,6.7212,390.564,16,52.6,0.214285714
612,5.5088,414.63,0,38.69,0
613,1.4502,223.228,2,56.79,0.375
614,2.9067,239.318,3,20.31,0.666666667
615,3.4789,170.211,2,9.23,0.923076923
616,3.4302,169.227,2,12.03,0.923076923
617,3.2774,168.239,2,0,0.923076923
618,1.823,102.177,4,9.23,0
619,3.6212,296.552,4,6.48,0
620,3.7702,274.413,9,18.46,0
621,2.5801,299.288,5,55.84,0.315789474
622,3.0869,233.098,1,32.34,0.428571429
623,3.3089,136.238,1,0,0
624,1.51702,198.134,2,106.51,0.428571429
625,1.5759,180.207,3,64.35,0.461538462
626,-2.2131,254.246,3,102.28,0.5
627,8.048,282.556,17,0,0
628,4.4814,380.913,0,12.53,0
629,3.9591,290.447,0,37.3,0
630,4.4839,306.515,0,20.23,0
631,3.9444,266.34,0,37.3,0.5
632,3.7375,268.356,0,37.3,0.3
633,2.2155,288.255,1,107.22,0.571428571
634,-2.3072,122.12,3,80.92,0
635,3.6092,272.388,0,40.46,0.3
636,2.4237,148.205,3,9.23,0.545454545
637,2.58,288.387,0,60.69,0.285714286
638,3.8174,270.372,0,37.3,0.3
639,3.9242,333.266,6,89.52,0.260869565
640,1.0262,30.07,0,0,0
641,0.9361,62.137,0,0,0
642,-0.0014,46.069,0,20.23,0
643,3.6126,296.41,0,40.46,0.272727273
644,2.6579,225.313,4,38.33,0.4
645,5.0053,384.487,12,36.92,0
646,1.85272,209.293,5,57.78,0.4
647,3.8826,312.453,0,37.3,0
648,2.0576,286.349,4,61.83,0.315789474
649,2.0576,286.349,4,61.83,0.315789474
650,1.3424,258.324,3,82.28,0.5625
651,0.5694,88.106,1,26.3,0
652,1.8633,150.177,2,26.3,0.545454545
653,2.1298,144.214,5,26.3,0
654,2.2629,176.215,3,26.3,0.461538462
655,3.6902,200.322,9,26.3,0
656,0.1793,74.079,2,26.3,0
657,2.5199,158.241,6,26.3,0
658,2.1298,144.214,5,26.3,0
659,3.3001,186.295,8,26.3,0
660,2.91,172.268,7,26.3,0
661,1.7397,130.187,4,26.3,0
662,0.9595,102.133,2,26.3,0
663,1.4329,88.15,3,9.23,0
664,1.1664,72.107,2,9.23,0
665,2.249,106.168,1,0,0.75
666,2.9767,112.216,1,0,0
667,0.8022,28.054,0,0,0
668,1.4455,165.192,2,52.32,0.5
669,1.5689,166.176,2,46.53,0.5
670,0.2494,26.038,0,0,0
671,6.372,376.496,9,27.69,0.642857143
672,2.6691,244.294,4,44.12,0.611111111
673,1.3386,588.562,5,160.83,0.285714286
674,2.7441,154.253,0,9.23,0
675,2.1293,164.204,3,29.46,0.5
676,4.0676,331.202,3,46.01,0.818181818
677,2.84032,201.225,2,42.24,0.733333333
678,2.79932,277.238,5,70.83,0.352941176
679,3.2604,253.367,6,29.54,0.352941176
680,3.6038,301.342,7,56.79,0.545454545
681,5.26898,349.43,5,59.32,0.461538462
682,3.1003,308.361,7,44.76,0.333333333
683,3.61302,278.335,5,27.69,0.375
684,1.7801,164.208,1,32.34,0.5
685,0.7358,306.276,5,81.65,0.727272727
686,6.62798,451.469,9,68.55,0.545454545
687,-0.5088,129.094,0,71.77,0.666666667
688,1.8737,380.456,2,94.83,0
689,1.8437,410.457,2,94.83,0
690,5.3408,421.734,6,89.52,0.428571429
691,2.7989,232.205,1,32.34,0.375
692,4.4872,202.256,0,0,1
693,3.2578,166.223,0,0,0.923076923
694,1.8257,96.104,0,0,0.857142857
695,2.9233,376.468,1,74.6,0
696,2.7989,232.205,1,32.34,0.375
